"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"PPM1A","P35813","Protein phosphatase 1A","PPM1A_HUMAN"
"AHR","P35869","Aryl hydrocarbon receptor","AHR_HUMAN"
"HMGCL","P35914","Hydroxymethylglutaryl-CoA lyase, mitochondrial","HMGCL_HUMAN"
"ARL2","P36404","ADP-ribosylation factor-like protein 2","ARL2_HUMAN"
"ARL3","P36405","ADP-ribosylation factor-like protein 3","ARL3_HUMAN"
"MAP2K2","P36507","Dual specificity mitogen-activated protein kinase kinase 2","MP2K2_HUMAN"
"ATP5F1C","P36542","ATP synthase subunit gamma, mitochondrial","ATPG_HUMAN"
"ATP6V1E1","P36543","V-type proton ATPase subunit E 1","VATE1_HUMAN"
"CPOX","P36551","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial","HEM6_HUMAN"
"RPL4","P36578","60S ribosomal protein L4","RL4_HUMAN"
"NUDT1","P36639","Oxidized purine nucleoside triphosphate hydrolase","8ODP_HUMAN"
"PGM1","P36871","Phosphoglucomutase-1","PGM1_HUMAN"
"TGFBR1","P36897","TGF-beta receptor type-1","TGFR1_HUMAN"
"GNL1","P36915","Guanine nucleotide-binding protein-like 1","GNL1_HUMAN"
"LTBR","P36941","Tumor necrosis factor receptor superfamily member 3","TNR3_HUMAN"
"SERPINB5","P36952","Serpin B5","SPB5_HUMAN"
"POLR2I","P36954","DNA-directed RNA polymerase II subunit RPB9","RPB9_HUMAN"
"SREBF1","P36956","Sterol regulatory element-binding protein 1","SRBP1_HUMAN"
"DLST","P36957","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","ODO2_HUMAN"
"GMPR","P36959","GMP reductase 1","GMPR1_HUMAN"
"GPX4","P36969","Phospholipid hydroperoxide glutathione peroxidase","GPX4_HUMAN"
"SRP14","P37108","Signal recognition particle 14 kDa protein","SRP14_HUMAN"
"NUP62","P37198","Nuclear pore glycoprotein p62","NUP62_HUMAN"
"HPCAL1","P37235","Hippocalcin-like protein 1","HPCL1_HUMAN"
"FDFT1","P37268","Squalene synthase","FDFT_HUMAN"
"ZEB1","P37275","Zinc finger E-box-binding homeobox 1","ZEB1_HUMAN"
"PIGA","P37287","Phosphatidylinositol N-acetylglucosaminyltransferase subunit A","PIGA_HUMAN"
"TAGLN2","P37802","Transgelin-2","TAGL2_HUMAN"
"TALDO1","P37837","Transaldolase","TALDO_HUMAN"
"ETFB","P38117","Electron transfer flavoprotein subunit beta","ETFB_HUMAN"
"RBMX","P38159","RNA-binding motif protein, X chromosome","RBMX_HUMAN"
"BRCA1","P38398;Q5YLB2","Breast cancer type 1 susceptibility protein","BRCA1_HUMAN;Q5YLB2_HUMAN"
"COIL","P38432","Coilin","COIL_HUMAN"
"ATP6V1A","P38606","V-type proton ATPase catalytic subunit A","VATA_HUMAN"
"HSPA9","P38646","Stress-70 protein, mitochondrial","GRP75_HUMAN"
"EIF4A3","P38919","Eukaryotic initiation factor 4A-III","IF4A3_HUMAN"
"IGHMBP2","P38935","DNA-binding protein SMUBP-2","SMBP2_HUMAN"
"CDKN1A","P38936","Cyclin-dependent kinase inhibitor 1","CDN1A_HUMAN"
"RPS19","P39019","40S ribosomal protein S19","RS19_HUMAN"
"RPL3","P39023","60S ribosomal protein L3","RL3_HUMAN"
"ANP32A","P39687","Acidic leucine-rich nuclear phosphoprotein 32 family member A","AN32A_HUMAN"
"FEN1","P39748","Flap endonuclease 1","FEN1_HUMAN"
"CUX1","P39880","Homeobox protein cut-like 1","CUX1_HUMAN"
"CAPG","P40121","Macrophage-capping protein","CAPG_HUMAN"
"TXLNA","P40222","Alpha-taxilin","TXLNA_HUMAN"
"CCT6A","P40227","T-complex protein 1 subunit zeta","TCPZ_HUMAN"
"NNMT","P40261","Nicotinamide N-methyltransferase","NNMT_HUMAN"
"PBX1","P40424","Pre-B-cell leukemia transcription factor 1","PBX1_HUMAN"
"PBX2","P40425","Pre-B-cell leukemia transcription factor 2","PBX2_HUMAN"
"PBX3","P40426;Q5JS98","Pre-B-cell leukemia transcription factor 3","PBX3_HUMAN;Q5JS98_HUMAN"
"ARL4A","P40617","ADP-ribosylation factor-like protein 4A","ARL4A_HUMAN"
"MLH1","P40692","DNA mismatch repair protein Mlh1","MLH1_HUMAN"
"USP8","P40818","Ubiquitin carboxyl-terminal hydrolase 8","UBP8_HUMAN"
"PEX19","P40855","Peroxisomal biogenesis factor 19","PEX19_HUMAN"
"MDH2","P40926","Malate dehydrogenase, mitochondrial","MDHM_HUMAN"
"RFC5","P40937","Replication factor C subunit 5","RFC5_HUMAN"
"RFC3","P40938","Replication factor C subunit 3","RFC3_HUMAN"
"EIF2S3","P41091","Eukaryotic translation initiation factor 2 subunit 3","IF2G_HUMAN"
"ID1","P41134","DNA-binding protein inhibitor ID-1","ID1_HUMAN"
"ETV3","P41162","ETS translocation variant 3","ETV3_HUMAN"
"CETN2","P41208","Centrin-2","CETN2_HUMAN"
"EIF2D","P41214","Eukaryotic translation initiation factor 2D","EIF2D_HUMAN"
"WNT5A","P41221","Protein Wnt-5a","WNT5A_HUMAN"
"BUD31","P41223","Protein BUD31 homolog","BUD31_HUMAN"
"NAA10","P41227","N-alpha-acetyltransferase 10","NAA10_HUMAN"
"KDM5C","P41229","Lysine-specific demethylase 5C","KDM5C_HUMAN"
"CSK","P41240","Tyrosine-protein kinase CSK","CSK_HUMAN"
"PNPLA4","P41247","Patatin-like phospholipase domain-containing protein 4","PLPL4_HUMAN"
"GARS1","P41250","Glycine--tRNA ligase","GARS_HUMAN"
"IARS1","P41252","Isoleucine--tRNA ligase, cytoplasmic","SYIC_HUMAN"
"SLC19A1","P41440","Reduced folate transporter","S19A1_HUMAN"
"PRKCI","P41743","Protein kinase C iota type","KPCI_HUMAN"
"ACTR1B","P42025","Beta-centractin","ACTY_HUMAN"
"ECI1","P42126","Enoyl-CoA delta isomerase 1, mitochondrial","ECI1_HUMAN"
"TMPO","P42166","Lamina-associated polypeptide 2, isoform alpha","LAP2A_HUMAN"
"TMPO","P42167","Lamina-associated polypeptide 2, isoforms beta/gamma","LAP2B_HUMAN"
"MTREX","P42285","Exosome RNA helicase MTR4","MTREX_HUMAN"
"PIK3CA","P42336","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PK3CA_HUMAN"
"PIK3CB","P42338","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","PK3CB_HUMAN"
"MTOR","P42345","Serine/threonine-protein kinase mTOR","MTOR_HUMAN"
"PI4KA","P42356","Phosphatidylinositol 4-kinase alpha","PI4KA_HUMAN"
"EPS15","P42566","Epidermal growth factor receptor substrate 15","EPS15_HUMAN"
"MLLT3","P42568","Protein AF-9","AF9_HUMAN"
"CASP3","P42574","Caspase-3","CASP3_HUMAN"
"CASP2","P42575","Caspase-2","CASP2_HUMAN"
"RPS27","P42677","40S ribosomal protein S27","RS27_HUMAN"
"ABL2","P42684","Tyrosine-protein kinase ABL2","ABL2_HUMAN"
"HELZ","P42694","Probable helicase with zinc finger domain","HELZ_HUMAN"
"NCAPD3","P42695","Condensin-2 complex subunit D3","CNDD3_HUMAN"
"RBM34","P42696","RNA-binding protein 34","RBM34_HUMAN"
"RPL35","P42766","60S ribosomal protein L35","RL35_HUMAN"
"CDKN2C","P42773","Cyclin-dependent kinase 4 inhibitor C","CDN2C_HUMAN"
"MTHFR","P42898;Q5SNW7","Methylenetetrahydrofolate reductase (NADPH);Methylenetetrahydrofolate reductase","MTHR_HUMAN;Q5SNW7_HUMAN"
"SLC1A4","P43007","Neutral amino acid transporter A","SATT_HUMAN"
"PAFAH1B1","P43034","Platelet-activating factor acetylhydrolase IB subunit beta","LIS1_HUMAN"
"PTGER2","P43116","Prostaglandin E2 receptor EP2 subtype","PE2R2_HUMAN"
"MCAM","P43121","Cell surface glycoprotein MUC18","MUC18_HUMAN"
"MSH2","P43246","DNA mismatch repair protein Msh2","MSH2_HUMAN"
"BTD","P43251","Biotinidase","BTD_HUMAN"
"GPD2","P43304","Glycerol-3-phosphate dehydrogenase, mitochondrial","GPDM_HUMAN"
"ALDH3B1","P43353","Aldehyde dehydrogenase family 3 member B1","AL3B1_HUMAN"
"PTPN9","P43378","Tyrosine-protein phosphatase non-receptor type 9","PTN9_HUMAN"
"RANBP1","P43487","Ran-specific GTPase-activating protein","RANG_HUMAN"
"PSMC4","P43686","26S proteasome regulatory subunit 6B","PRS6B_HUMAN"
"TSFM","P43897","Elongation factor Ts, mitochondrial","EFTS_HUMAN"
"PPIC","P45877","Peptidyl-prolyl cis-trans isomerase C","PPIC_HUMAN"
"ACADSB","P45954","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial","ACDSB_HUMAN"
"CBX5","P45973","Chromobox protein homolog 5","CBX5_HUMAN"
"USP5","P45974","Ubiquitin carboxyl-terminal hydrolase 5","UBP5_HUMAN"
"MAPK8","P45983","Mitogen-activated protein kinase 8","MK08_HUMAN"
"MAPK9","P45984","Mitogen-activated protein kinase 9","MK09_HUMAN"
"MAP2K4","P45985","Dual specificity mitogen-activated protein kinase kinase 4","MP2K4_HUMAN"
"MKI67","P46013","Proliferation marker protein Ki-67","KI67_HUMAN"
"PHKA2","P46019","Phosphorylase b kinase regulatory subunit alpha, liver isoform","KPB2_HUMAN"
"RANGAP1","P46060","Ran GTPase-activating protein 1","RAGP1_HUMAN"
"RECQL","P46063","ATP-dependent DNA helicase Q1","RECQ1_HUMAN"
"NOP2","P46087","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase","NOP2_HUMAN"
"ATRX","P46100","Transcriptional regulator ATRX","ATRX_HUMAN"
"CRK","P46108","Adapter molecule crk","CRK_HUMAN"
"CRKL","P46109","Crk-like protein","CRKL_HUMAN"
"MTIF2","P46199","Translation initiation factor IF-2, mitochondrial","IF2M_HUMAN"
"CDKN1B","P46527","Cyclin-dependent kinase inhibitor 1B","CDN1B_HUMAN"
"MAP2K3","P46734","Dual specificity mitogen-activated protein kinase kinase 3","MP2K3_HUMAN"
"BRCC3","P46736","Lys-63-specific deubiquitinase BRCC36","BRCC3_HUMAN"
"RPL5","P46777","60S ribosomal protein L5","RL5_HUMAN"
"RPL21","P46778","60S ribosomal protein L21","RL21_HUMAN"
"RPL28","P46779","60S ribosomal protein L28","RL28_HUMAN"
"RPS9","P46781","40S ribosomal protein S9","RS9_HUMAN"
"RPS10","P46783","40S ribosomal protein S10","RS10_HUMAN"
"GNPDA1","P46926","Glucosamine-6-phosphate isomerase 1","GNPI1_HUMAN"
"NEDD4","P46934","E3 ubiquitin-protein ligase NEDD4","NEDD4_HUMAN"
"YAP1","P46937","Transcriptional coactivator YAP1","YAP1_HUMAN"
"UTRN","P46939","Utrophin","UTRN_HUMAN"
"IQGAP1","P46940","Ras GTPase-activating-like protein IQGAP1","IQGA1_HUMAN"
"GYG1","P46976","Glycogenin-1","GLYG_HUMAN"
"STT3A","P46977","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","STT3A_HUMAN"
"RABIF","P47224","Guanine nucleotide exchange factor MSS4","MSS4_HUMAN"
"PLA2G4A","P47712","Cytosolic phospholipase A2","PA24A_HUMAN"
"CAPZA2","P47755","F-actin-capping protein subunit alpha-2","CAZA2_HUMAN"
"CAPZB","P47756","F-actin-capping protein subunit beta","CAPZB_HUMAN"
"EIF1AX","P47813","Eukaryotic translation initiation factor 1A, X-chromosomal","IF1AX_HUMAN"
"QARS1","P47897","Glutamine--tRNA ligase","SYQ_HUMAN"
"ZFP36L2","P47974","mRNA decay activator protein ZFP36L2","TISD_HUMAN"
"UQCRFS1","P47985","Cytochrome b-c1 complex subunit Rieske, mitochondrial","UCRI_HUMAN"
"ATP5PO","P48047","ATP synthase subunit O, mitochondrial","ATPO_HUMAN"
"SLC6A9","P48067","Sodium- and chloride-dependent glycine transporter 1","SC6A9_HUMAN"
"PREP","P48147","Prolyl endopeptidase","PPCE_HUMAN"
"ME1","P48163","NADP-dependent malic enzyme","MAOX_HUMAN"
"IREB2","P48200","Iron-responsive element-binding protein 2","IREB2_HUMAN"
"RFX5","P48382","DNA-binding protein RFX5","RFX5_HUMAN"
"PIP4K2A","P48426","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha","PI42A_HUMAN"
"ARCN1","P48444","Coatomer subunit delta","COPD_HUMAN"
"ALDH3B2","P48448","Aldehyde dehydrogenase family 3 member B2","AL3B2_HUMAN"
"LSS","P48449","Lanosterol synthase","LSS_HUMAN"
"PPP3CC","P48454","Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform","PP2BC_HUMAN"
"GCLC","P48506","Glutamate--cysteine ligase catalytic subunit","GSH1_HUMAN"
"GCLM","P48507","Glutamate--cysteine ligase regulatory subunit","GSH0_HUMAN"
"TRAPPC10","P48553","Trafficking protein particle complex subunit 10","TPC10_HUMAN"
"SERPINB4","P48594","Serpin B4","SPB4_HUMAN"
"PRRC2A","P48634","Protein PRRC2A","PRC2A_HUMAN"
"GSS","P48637","Glutathione synthetase","GSHB_HUMAN"
"CCT5","P48643","T-complex protein 1 subunit epsilon","TCPE_HUMAN"
"PTDSS1","P48651","Phosphatidylserine synthase 1","PTSS1_HUMAN"
"NES","P48681","Nestin","NEST_HUMAN"
"HSPA13","P48723","Heat shock 70 kDa protein 13","HSP13_HUMAN"
"IDH2","P48735","Isocitrate dehydrogenase [NADP], mitochondrial","IDHP_HUMAN"
"PITPNB","P48739","Phosphatidylinositol transfer protein beta isoform","PIPNB_HUMAN"
"CCN3","P48745","CCN family member 3","CCN3_HUMAN"
"ADGRE5","P48960","Adhesion G protein-coupled receptor E5","AGRE5_HUMAN"
"MARCKSL1","P49006","MARCKS-related protein","MRP_HUMAN"
"CAMLG","P49069","Guided entry of tail-anchored proteins factor CAMLG","CAMLG_HUMAN"
"NR2C2","P49116","Nuclear receptor subfamily 2 group C member 2","NR2C2_HUMAN"
"MAPKAPK2","P49137","MAP kinase-activated protein kinase 2","MAPK2_HUMAN"
"ALDH9A1","P49189","4-trimethylaminobutyraldehyde dehydrogenase","AL9A1_HUMAN"
"RPL34","P49207","60S ribosomal protein L34","RL34_HUMAN"
"RPIA","P49247","Ribose-5-phosphate isomerase","RPIA_HUMAN"
"LMAN1","P49257","Protein ERGIC-53","LMAN1_HUMAN"
"NASP","P49321","Nuclear autoantigenic sperm protein","NASP_HUMAN"
"FASN","P49327","Fatty acid synthase","FAS_HUMAN"
"CDK8","P49336","Cyclin-dependent kinase 8","CDK8_HUMAN"
"FNTA","P49354","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","FNTA_HUMAN"
"FNTB","P49356","Protein farnesyltransferase subunit beta","FNTB_HUMAN"
"DHPS","P49366","Deoxyhypusine synthase","DHYS_HUMAN"
"CCT3","P49368","T-complex protein 1 subunit gamma","TCPG_HUMAN"
"MRPL19","P49406","39S ribosomal protein L19, mitochondrial","RM19_HUMAN"
"ARRB1","P49407","Beta-arrestin-1","ARRB1_HUMAN"
"TUFM","P49411","Elongation factor Tu, mitochondrial","EFTU_HUMAN"
"CDC34","P49427","Ubiquitin-conjugating enzyme E2 R1","UB2R1_HUMAN"
"INPP1","P49441","Inositol polyphosphate 1-phosphatase","INPP_HUMAN"
"CENPF","P49454","Centromere protein F","CENPF_HUMAN"
"SRP9","P49458","Signal recognition particle 9 kDa protein","SRP09_HUMAN"
"PCYT1A","P49585","Choline-phosphate cytidylyltransferase A","PCY1A_HUMAN"
"CARS1","P49589","Cysteine--tRNA ligase, cytoplasmic","SYCC_HUMAN"
"SARS1","P49591;Q5T5C7","Serine--tRNA ligase, cytoplasmic;serine--tRNA ligase","SYSC_HUMAN;Q5T5C7_HUMAN"
"PPM1F","P49593","Protein phosphatase 1F","PPM1F_HUMAN"
"CASP4","P49662","Caspase-4","CASP4_HUMAN"
"CSNK1E","P49674","Casein kinase I isoform epsilon","KC1E_HUMAN"
"CEBPD","P49716","CCAAT/enhancer-binding protein delta","CEBPD_HUMAN"
"PSMB3","P49720","Proteasome subunit beta type-3","PSB3_HUMAN"
"PSMB2","P49721","Proteasome subunit beta type-2","PSB2_HUMAN"
"MCM2","P49736","DNA replication licensing factor MCM2","MCM2_HUMAN"
"ACADVL","P49748","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial","ACADV_HUMAN"
"YLPM1","P49750","YLP motif-containing protein 1","YLPM1_HUMAN"
"VPS41","P49754","Vacuolar protein sorting-associated protein 41 homolog","VPS41_HUMAN"
"TMED10","P49755","Transmembrane emp24 domain-containing protein 10","TMEDA_HUMAN"
"RBM25","P49756","RNA-binding protein 25","RBM25_HUMAN"
"NUMB","P49757","Protein numb homolog","NUMB_HUMAN"
"CLK3","P49761","Dual specificity protein kinase CLK3","CLK3_HUMAN"
"EIF2B2","P49770","Translation initiation factor eIF-2B subunit beta","EI2BB_HUMAN"
"HINT1","P49773","Adenosine 5'-monophosphoramidase HINT1","HINT1_HUMAN"
"NUP153","P49790","Nuclear pore complex protein Nup153","NU153_HUMAN"
"RANBP2","P49792","E3 SUMO-protein ligase RanBP2","RBP2_HUMAN"
"RGS19","P49795","Regulator of G-protein signaling 19","RGS19_HUMAN"
"GSK3A","P49840","Glycogen synthase kinase-3 alpha","GSK3A_HUMAN"
"GSK3B","P49841","Glycogen synthase kinase-3 beta","GSK3B_HUMAN"
"SULT1E1","P49888","Sulfotransferase 1E1","ST1E1_HUMAN"
"SEPHS1","P49903","Selenide, water dikinase 1","SPS1_HUMAN"
"MTHFS","P49914","5-formyltetrahydrofolate cyclo-ligase","MTHFS_HUMAN"
"GMPS","P49915","GMP synthase [glutamine-hydrolyzing]","GUAA_HUMAN"
"LIG3","P49916","DNA ligase 3","DNLI3_HUMAN"
"LIG4","P49917","DNA ligase 4","DNLI4_HUMAN"
"MRE11","P49959","Double-strand break repair protein MRE11","MRE11_HUMAN"
"HNMT","P50135","Histamine N-methyltransferase","HNMT_HUMAN"
"GNAQ","P50148","Guanine nucleotide-binding protein G(q) subunit alpha","GNAQ_HUMAN"
"GNG10","P50151","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10","GBG10_HUMAN"
"IDH3A","P50213","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial","IDH3A_HUMAN"
"CRIP1","P50238","Cysteine-rich protein 1","CRIP1_HUMAN"
"GDI2","P50395","Rab GDP dissociation inhibitor beta","GDIB_HUMAN"
"EMD","P50402","Emerin","EMD_HUMAN"
"CPT1A","P50416","Carnitine O-palmitoyltransferase 1, liver isoform","CPT1A_HUMAN"
"SLC26A2","P50443","Sulfate transporter","S26A2_HUMAN"
"SERPINB8","P50452","Serpin B8","SPB8_HUMAN"
"SERPINH1","P50454","Serpin H1","SERPH_HUMAN"
"ST13","P50502","Hsc70-interacting protein","F10A1_HUMAN"
"ERF","P50548","ETS domain-containing transcription factor ERF","ERF_HUMAN"
"VASP","P50552","Vasodilator-stimulated phosphoprotein","VASP_HUMAN"
"DNM2","P50570","Dynamin-2","DYN2_HUMAN"
"METAP2","P50579","Methionine aminopeptidase 2","MAP2_HUMAN"
"NUDT2","P50583","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]","AP4A_HUMAN"
"CDK7","P50613","Cyclin-dependent kinase 7","CDK7_HUMAN"
"KNTC1","P50748","Kinetochore-associated protein 1","KNTC1_HUMAN"
"CDK9","P50750","Cyclin-dependent kinase 9","CDK9_HUMAN"
"PPT1","P50897","Palmitoyl-protein thioesterase 1","PPT1_HUMAN"
"CCT8","P50990","T-complex protein 1 subunit theta","TCPQ_HUMAN"
"CCT4","P50991","T-complex protein 1 subunit delta","TCPD_HUMAN"
"ANXA11","P50995","Annexin A11","ANX11_HUMAN"
"PAPOLA","P51003","Poly(A) polymerase alpha","PAPOA_HUMAN"
"FXR2","P51116","RNA-binding protein FXR2","FXR2_HUMAN"
"RAB5C","P51148","Ras-related protein Rab-5C","RAB5C_HUMAN"
"RAB7A","P51149","Ras-related protein Rab-7a","RAB7A_HUMAN"
"RAB9A","P51151","Ras-related protein Rab-9A","RAB9A_HUMAN"
"RAB13","P51153","Ras-related protein Rab-13","RAB13_HUMAN"
"RAB27A","P51159","Ras-related protein Rab-27A","RB27A_HUMAN"
"DAP","P51397","Death-associated protein 1","DAP1_HUMAN"
"DAP3","P51398","28S ribosomal protein S29, mitochondrial","RT29_HUMAN"
"DUSP3","P51452","Dual specificity protein phosphatase 3","DUS3_HUMAN"
"MMP15","P51511","Matrix metalloproteinase-15","MMP15_HUMAN"
"SMARCA2","P51531","Probable global transcription activator SNF2L2","SMCA2_HUMAN"
"IDH3G","P51553","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial","IDH3G_HUMAN"
"GALK1","P51570","Galactokinase","GALK1_HUMAN"
"SSR4","P51571","Translocon-associated protein subunit delta","SSRD_HUMAN"
"BCAP31","P51572","B-cell receptor-associated protein 31","BAP31_HUMAN"
"TPMT","P51580","Thiopurine S-methyltransferase","TPMT_HUMAN"
"MECP2","P51608","Methyl-CpG-binding protein 2","MECP2_HUMAN"
"HCFC1","P51610","Host cell factor 1","HCFC1_HUMAN"
"ALDH5A1","P51649","Succinate-semialdehyde dehydrogenase, mitochondrial","SSDH_HUMAN"
"PSMD7","P51665","26S proteasome non-ATPase regulatory subunit 7","PSMD7_HUMAN"
"UBE2D1","P51668","Ubiquitin-conjugating enzyme E2 D1","UB2D1_HUMAN"
"SGSH","P51688","N-sulphoglucosamine sulphohydrolase","SPHM_HUMAN"
"CLCN5","P51795","H(+)/Cl(-) exchange transporter 5","CLCN5_HUMAN"
"CLCN7","P51798","H(+)/Cl(-) exchange transporter 7","CLCN7_HUMAN"
"VAMP7","P51809","Vesicle-associated membrane protein 7","VAMP7_HUMAN"
"RPS6KA3","P51812","Ribosomal protein S6 kinase alpha-3","KS6A3_HUMAN"
"HDGF","P51858","Hepatoma-derived growth factor","HDGF_HUMAN"
"CCNH","P51946","Cyclin-H","CCNH_HUMAN"
"MNAT1","P51948","CDK-activating kinase assembly factor MAT1","MAT1_HUMAN"
"NDUFA8","P51970","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8","NDUA8_HUMAN"
"HNRNPA3","P51991","Heterogeneous nuclear ribonucleoprotein A3","ROA3_HUMAN"
"PGD","P52209","6-phosphogluconate dehydrogenase, decarboxylating","6PGD_HUMAN"
"HNRNPM","P52272","Heterogeneous nuclear ribonucleoprotein M","HNRPM_HUMAN"
"KPNA1","P52294","Importin subunit alpha-5","IMA5_HUMAN"
"NCBP2","P52298","Nuclear cap-binding protein subunit 2","NCBP2_HUMAN"
"RAP1GDS1","P52306","Rap1 GTPase-GDP dissociation stimulator 1","GDS1_HUMAN"
"DGKE","P52429","Diacylglycerol kinase epsilon","DGKE_HUMAN"
"MAP2K6","P52564","Dual specificity mitogen-activated protein kinase kinase 6","MP2K6_HUMAN"
"ARHGDIA","P52565","Rho GDP-dissociation inhibitor 1","GDIR1_HUMAN"
"AGFG1","P52594","Arf-GAP domain and FG repeat-containing protein 1","AGFG1_HUMAN"
"HNRNPF","P52597","Heterogeneous nuclear ribonucleoprotein F","HNRPF_HUMAN"
"KIF11","P52732","Kinesin-like protein KIF11","KIF11_HUMAN"
"VAV2","P52735","Guanine nucleotide exchange factor VAV2","VAV2_HUMAN"
"ZNF131","P52739","Zinc finger protein 131","ZN131_HUMAN"
"ZNF134;ZNF583","P52741;Q96ND8","Zinc finger protein 134;Zinc finger protein 583","ZN134_HUMAN;ZN583_HUMAN"
"ZNF143","P52747","Zinc finger protein 143","ZN143_HUMAN"
"RBM5","P52756","RNA-binding protein 5","RBM5_HUMAN"
"RIDA","P52758","2-iminobutanoate/2-iminopropanoate deaminase","RIDA_HUMAN"
"SMS","P52788","Spermine synthase","SPSY_HUMAN"
"HK2","P52789","Hexokinase-2","HXK2_HUMAN"
"EFNA5","P52803","Ephrin-A5","EFNA5_HUMAN"
"MRPL12","P52815","39S ribosomal protein L12, mitochondrial","RM12_HUMAN"
"THOP1","P52888","Thimet oligopeptidase","THOP1_HUMAN"
"CAPZA1","P52907","F-actin-capping protein subunit alpha-1","CAZA1_HUMAN"
"CRIP2","P52943","Cysteine-rich protein 2","CRIP2_HUMAN"
"BLVRA","P53004","Biliverdin reductase A","BIEA_HUMAN"
"SLC25A1","P53007","Tricarboxylate transport protein, mitochondrial","TXTP_HUMAN"
"PPP5C","P53041","Serine/threonine-protein phosphatase 5","PPP5_HUMAN"
"PLK1","P53350","Serine/threonine-protein kinase PLK1","PLK1_HUMAN"
"DAPK1","P53355","Death-associated protein kinase 1","DAPK1_HUMAN"
"ARFIP1","P53367","Arfaptin-1","ARFP1_HUMAN"
"NUBP1","P53384","Cytosolic Fe-S cluster assembly factor NUBP1","NUBP1_HUMAN"
"ACLY","P53396","ATP-citrate synthase","ACLY_HUMAN"
"CEBPG","P53567","CCAAT/enhancer-binding protein gamma","CEBPG_HUMAN"
"METAP1","P53582","Methionine aminopeptidase 1","MAP11_HUMAN"
"SUCLG1","P53597","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial","SUCA_HUMAN"
"MVD","P53602","Diphosphomevalonate decarboxylase","MVD1_HUMAN"
"PGGT1B","P53609","Geranylgeranyl transferase type-1 subunit beta","PGTB1_HUMAN"
"RABGGTB","P53611","Geranylgeranyl transferase type-2 subunit beta","PGTB2_HUMAN"
"COPB1","P53618","Coatomer subunit beta","COPB_HUMAN"
"COPA","P53621","Coatomer subunit alpha","COPA_HUMAN"
"HCCS","P53701","Holocytochrome c-type synthase","CCHL_HUMAN"
"SLC5A3","P53794","Sodium/myo-inositol cotransporter","SC5A3_HUMAN"
"PTTG1IP","P53801","Pituitary tumor-transforming gene 1 protein-interacting protein","PTTG_HUMAN"
"POLR2K","P53803","DNA-directed RNA polymerases I, II, and III subunit RPABC4","RPAB4_HUMAN"
"SMTN","P53814","Smoothelin","SMTN_HUMAN"
"SLC16A1","P53985","Monocarboxylate transporter 1","MOT1_HUMAN"
"IST1","P53990","IST1 homolog","IST1_HUMAN"
"SEC24C","P53992","Protein transport protein Sec24C","SC24C_HUMAN"
"SUB1","P53999","Activated RNA polymerase II transcriptional coactivator p15","TCP4_HUMAN"
"POLG","P54098","DNA polymerase subunit gamma-1","DPOG1_HUMAN"
"CLNS1A","P54105","Methylosome subunit pICln","ICLN_HUMAN"
"BLM","P54132","RecQ-like DNA helicase BLM","BLM_HUMAN"
"RARS1","P54136","Arginine--tRNA ligase, cytoplasmic","SYRC_HUMAN"
"HIRA","P54198","Protein HIRA","HIRA_HUMAN"
"ATN1","P54259","Atrophin-1","ATN1_HUMAN"
"CACNA2D1","P54289","Voltage-dependent calcium channel subunit alpha-2/delta-1","CA2D1_HUMAN"
"YARS1","P54577","Tyrosine--tRNA ligase, cytoplasmic","SYYC_HUMAN"
"USP14","P54578","Ubiquitin carboxyl-terminal hydrolase 14","UBP14_HUMAN"
"PRKAG1","P54619","5'-AMP-activated protein kinase subunit gamma-1","AAKG1_HUMAN"
"PRKAA2","P54646","5'-AMP-activated protein kinase catalytic subunit alpha-2","AAPK2_HUMAN"
"HSPA2","P54652","Heat shock-related 70 kDa protein 2","HSP72_HUMAN"
"ATP12A","P54707","Potassium-transporting ATPase alpha chain 2","AT12A_HUMAN"
"ATP1B3","P54709","Sodium/potassium-transporting ATPase subunit beta-3","AT1B3_HUMAN"
"RAD23A","P54725","UV excision repair protein RAD23 homolog A","RD23A_HUMAN"
"RAD23B","P54727","UV excision repair protein RAD23 homolog B","RD23B_HUMAN"
"EPHB4","P54760;Q96L35","Ephrin type-B receptor 4;receptor protein-tyrosine kinase","EPHB4_HUMAN;Q96L35_HUMAN"
